date,region,coal,gas_naptha_and_diesel,hydro,lignite,nuclear,res_wind_solar_biomass_and_others,solar_gen_mu,thermal_coal_and_lignite,total,wind_genmu
2013-06-29,NER,,,26.0,,,,,,35.0,0.0
2013-06-29,NR,,,277.0,,,,,,884.0,33.0
2013-06-29,SR,,,71.0,,,,,,693.0,82.0
2013-06-29,WR,,,55.0,,,,,,724.0,60.0
2013-06-30,ER,,,72.0,,,,,,281.0,0.0
2013-06-30,NER,,,24.0,,,,,,34.0,0.0
2013-06-30,NR,,,263.0,,,,,,802.0,25.0
2013-06-30,SR,,,62.0,,,,,,674.0,77.0
2013-06-30,WR,,,47.0,,,,,,715.0,55.0
2013-07-01,ER,,,77.0,,,,,,299.0,0.0
2013-07-01,NER,,,24.0,,,,,,34.0,0.0
2013-07-01,NR,,,280.0,,,,,,918.0,19.0
2013-07-01,SR,,,76.0,,,,,,698.0,84.0
2013-07-01,WR,,,36.0,,,,,,751.0,54.0
2013-07-02,ER,,,81.0,,,,,,313.0,0.0
2013-07-02,NER,,,21.0,,,,,,35.0,0.0
2013-07-02,NR,,,287.0,,,,,,939.0,10.0
2013-07-02,SR,,,70.0,,,,,,694.0,96.0
2013-07-02,WR,,,39.0,,,,,,760.0,58.0
2013-07-03,ER,,,83.0,,,,,,319.0,0.0
2013-07-03,NER,,,20.0,,,,,,36.0,0.0
2013-07-03,NR,,,284.0,,,,,,937.0,10.0
2013-07-03,SR,,,72.0,,,,,,695.0,91.0
2013-07-03,WR,,,42.0,,,,,,749.0,73.0
2013-07-04,ER,,,83.0,,,,,,308.0,0.0
2013-07-04,NER,,,19.0,,,,,,35.0,0.0
2013-07-04,NR,,,291.0,,,,,,957.0,7.0
2013-07-04,SR,,,67.0,,,,,,685.0,93.0
2013-07-04,WR,,,49.0,,,,,,713.0,43.0
2013-07-05,ER,,,80.0,,,,,,329.0,0.0
